sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
103529,1035303,17888,294,-4644
103530,1035313,17818,276,-4660
103531,1035323,17814,326,-4612
103532,1035333,17774,398,-4758
103533,1035343,17778,356,-4660
103534,1035353,17842,274,-4534
103535,1035363,17790,256,-4622
103536,1035373,17834,272,-4586
103537,1035383,17798,294,-4676
103538,1035393,17866,396,-4618
103539,1035403,17804,290,-4752
103540,1035413,17832,280,-4680
103541,1035423,17798,280,-4684
103542,1035433,17802,320,-4606
103543,1035443,17794,278,-4686
103544,1035453,17786,336,-4614
103545,1035463,17892,314,-4692
103546,1035473,17814,312,-4626
103547,1035483,17782,350,-4652
103548,1035493,17826,316,-4638
103549,1035503,17784,316,-4698
103550,1035513,17806,328,-4588
103551,1035523,17746,292,-4704
103552,1035533,17832,336,-4674
103553,1035543,17814,308,-4634
103554,1035553,17816,334,-4676
103555,1035563,17762,292,-4626
103556,1035573,17824,290,-4560
103557,1035583,17800,330,-4702
103558,1035593,17864,306,-4652
103559,1035603,17806,320,-4696
103560,1035613,17782,276,-4668
103561,1035623,17788,330,-4600
103562,1035633,17774,294,-4682
103563,1035643,17822,330,-4768
103564,1035653,17820,310,-4702
103565,1035663,17822,348,-4588
103566,1035673,17812,338,-4596
103567,1035683,17788,302,-4664
103568,1035693,17736,318,-4672
103569,1035703,17810,300,-4690
103570,1035713,17848,330,-4710
103571,1035723,17848,294,-4644
103572,1035733,17804,294,-4638
103573,1035743,17842,294,-4736
103574,1035753,17860,292,-4676
103575,1035763,17784,274,-4682
103576,1035773,17784,306,-4604
103577,1035783,17774,310,-4720
103578,1035793,17792,306,-4670
103579,1035803,17852,294,-4748
103580,1035813,17790,310,-4624
103581,1035823,17796,300,-4678
103582,1035833,17842,324,-4636
103583,1035843,17782,294,-4672
103584,1035853,17784,296,-4640
103585,1035863,17796,294,-4528
103586,1035873,17810,338,-4676
103587,1035883,17812,338,-4596
103588,1035893,17788,320,-4646
103589,1035903,17760,344,-4650
103590,1035913,17776,314,-4600
103591,1035923,17844,300,-4726
103592,1035933,17786,302,-4704
103593,1035943,17824,328,-4664
103594,1035953,17872,298,-4698
103595,1035963,17790,258,-4654
103596,1035973,17778,308,-4676
103597,1035983,17824,284,-4742
103598,1035993,17842,308,-4658
103599,1036003,17812,314,-4694
103600,1036013,17802,270,-4660
103601,1036023,17866,354,-4670
103602,1036033,17806,298,-4590
103603,1036043,17742,258,-4618
103604,1036053,17770,304,-4632
103605,1036063,17830,320,-4604
103606,1036073,17676,262,-4608
103607,1036083,17830,298,-4626
103608,1036093,17786,272,-4694
103609,1036103,17834,284,-4708
103610,1036113,17790,328,-4646
103611,1036123,17834,326,-4614
103612,1036133,17878,316,-4624
103613,1036143,17766,298,-4684
103614,1036153,17810,302,-4652
103615,1036163,17872,344,-4668
103616,1036173,17864,294,-4694
103617,1036183,17780,306,-4694
103618,1036193,17778,324,-4618
103619,1036203,17808,314,-4608
103620,1036213,17746,326,-4620
103621,1036223,17770,310,-4656
103622,1036233,17768,322,-4688
103623,1036243,17808,272,-4606
103624,1036253,17712,238,-4678
103625,1036263,17822,300,-4672
103626,1036273,17810,296,-4582
103627,1036283,17762,286,-4678
103628,1036293,17814,304,-4656
103629,1036303,17830,330,-4654
103630,1036313,17828,310,-4680
103631,1036323,17794,306,-4530
103632,1036333,17810,326,-4628
103633,1036343,17826,320,-4706
103634,1036353,17826,340,-4616
103635,1036363,17836,316,-4640
103636,1036373,17742,266,-4634
103637,1036383,17826,314,-4666
103638,1036393,17804,308,-4666
103639,1036403,17774,318,-4604
103640,1036413,17866,262,-4648
103641,1036423,17844,274,-4710
103642,1036433,17840,328,-4680
103643,1036443,17818,284,-4666
103644,1036453,17858,250,-4668
103645,1036463,17858,302,-4628
103646,1036473,17850,310,-4690
103647,1036483,17840,274,-4662
103648,1036493,17772,294,-4616
103649,1036503,17802,300,-4638
103650,1036513,17828,338,-4632
103651,1036523,17778,308,-4650
103652,1036533,17760,288,-4646
103653,1036543,17802,330,-4666
103654,1036553,17836,306,-4632
103655,1036563,17850,304,-4588
103656,1036573,17844,328,-4568
103657,1036583,17798,312,-4738
103658,1036593,17888,308,-4688
103659,1036603,17846,288,-4664
103660,1036613,17814,314,-4714
103661,1036623,17834,298,-4646
103662,1036633,17828,284,-4648
103663,1036643,17824,332,-4640
103664,1036653,17752,322,-4668
103665,1036663,17846,288,-4702
103666,1036673,17830,266,-4640
103667,1036683,17830,308,-4686
103668,1036693,17846,316,-4546
103669,1036703,17762,286,-4734
103670,1036713,17782,312,-4654
103671,1036723,17804,298,-4678
103672,1036733,17760,340,-4598
103673,1036743,17834,320,-4616
103674,1036753,17800,332,-4684
103675,1036763,17814,342,-4648
103676,1036773,17804,276,-4602
103677,1036783,17786,342,-4622
103678,1036793,17830,294,-4556
103679,1036803,17838,264,-4644
103680,1036813,17792,290,-4610
103681,1036823,17844,282,-4618
103682,1036833,17766,332,-4604
103683,1036843,17772,328,-4652
103684,1036853,17862,360,-4740
103685,1036863,17782,284,-4566
103686,1036873,17794,346,-4674
103687,1036883,17808,286,-4752
103688,1036893,17870,294,-4722
103689,1036903,17774,312,-4622
103690,1036913,17840,306,-4548
103691,1036923,17834,332,-4636
103692,1036933,17868,336,-4572
103693,1036943,17786,334,-4662
103694,1036953,17758,350,-4662
103695,1036963,17826,324,-4644
103696,1036973,17822,302,-4696
103697,1036983,17780,312,-4648
103698,1036993,17826,292,-4766
103699,1037003,17810,336,-4688
103700,1037013,17838,300,-4628
103701,1037023,17830,366,-4612
103702,1037033,17798,300,-4646
103703,1037043,17840,342,-4660
103704,1037053,17804,288,-4622
103705,1037063,17910,366,-4708
103706,1037073,17864,342,-4622
103707,1037083,17754,290,-4624
103708,1037093,17718,306,-4716
103709,1037103,17810,310,-4646
103710,1037113,17830,280,-4686
103711,1037123,17824,332,-4640
103712,1037133,17810,302,-4656
103713,1037143,17796,354,-4688
103714,1037153,17800,274,-4612
103715,1037163,17800,296,-4612
103716,1037173,17806,310,-4674
103717,1037183,17798,292,-4608
103718,1037193,17830,338,-4604
103719,1037203,17858,316,-4622
103720,1037213,17812,358,-4626
103721,1037223,17868,298,-4676
103722,1037233,17832,324,-4700
103723,1037243,17800,310,-4624
103724,1037253,17822,328,-4712
103725,1037263,17816,332,-4546
103726,1037273,17836,332,-4592
103727,1037283,17826,324,-4592
103728,1037293,17810,318,-4688
103729,1037303,17866,336,-4626
103730,1037313,17846,324,-4544
103731,1037323,17830,328,-4692
103732,1037333,17854,324,-4592
103733,1037343,17828,310,-4626
103734,1037353,17798,302,-4602
103735,1037363,17836,304,-4628
103736,1037373,17858,312,-4692
103737,1037383,17808,272,-4652
103738,1037393,17816,306,-4634
103739,1037403,17808,320,-4572
103740,1037413,17796,312,-4604
103741,1037423,17816,324,-4622
103742,1037433,17798,256,-4612
103743,1037443,17792,322,-4648
103744,1037453,17790,282,-4626
103745,1037463,17782,264,-4600
103746,1037473,17728,398,-4626
103747,1037483,17774,316,-4548
103748,1037493,17820,342,-4684
103749,1037503,17832,324,-4650
103750,1037513,17834,326,-4726
103751,1037523,17804,292,-4632
103752,1037533,17856,302,-4610
103753,1037543,17828,266,-4624
103754,1037553,17828,324,-4532
103755,1037563,17862,334,-4656
103756,1037573,17854,306,-4718
103757,1037583,17954,304,-4744
103758,1037593,17772,316,-4682
103759,1037603,17776,322,-4616
103760,1037613,17800,344,-4652
103761,1037623,17802,356,-4622
103762,1037633,17776,324,-4596
103763,1037643,17784,280,-4690
103764,1037653,17770,284,-4612
103765,1037663,17858,318,-4600
103766,1037673,17812,320,-4716
103767,1037683,17788,310,-4572
103768,1037693,17806,326,-4582
103769,1037703,17836,330,-4564
103770,1037713,17798,304,-4634
103771,1037723,17862,366,-4564
103772,1037733,17800,302,-4644
103773,1037743,17720,272,-4636
103774,1037753,17802,334,-4660
103775,1037763,17840,306,-4666
103776,1037773,17764,292,-4626
103777,1037783,17836,292,-4666
103778,1037793,17804,360,-4640
103779,1037803,17750,314,-4626
103780,1037813,17796,348,-4574
103781,1037823,17928,306,-4602
103782,1037833,17738,246,-4570
103783,1037843,17810,174,-4638
103784,1037853,17750,386,-4670
103785,1037863,17832,350,-4634
103786,1037873,17888,314,-4702
103787,1037883,17796,300,-4618
103788,1037893,17870,320,-4628
103789,1037903,17906,342,-4620
103790,1037913,17848,298,-4672
103791,1037923,17828,380,-4634
103792,1037933,17780,332,-4568
103793,1037943,17742,322,-4608
103794,1037953,17832,340,-4616
103795,1037963,17806,290,-4754
103796,1037973,17778,298,-4610
103797,1037983,17840,314,-4690
103798,1037993,17778,330,-4594
103799,1038003,17810,298,-4662
