sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
197110,1971113,-14820,-262,-4122
197111,1971123,-14818,-280,-4204
197112,1971133,-14830,-286,-4210
197113,1971143,-14826,-240,-4116
197114,1971153,-14828,-196,-4180
197115,1971163,-14818,-188,-4164
197116,1971173,-14756,-200,-4234
197117,1971183,-14818,-226,-4200
197118,1971193,-14826,-276,-4192
197119,1971203,-14850,-228,-4148
197120,1971213,-14800,-268,-4234
197121,1971223,-14760,-248,-4180
197122,1971233,-14814,-254,-4142
197123,1971243,-14856,-312,-4198
197124,1971253,-14824,-236,-4184
197125,1971263,-14800,-282,-4104
197126,1971273,-14848,-204,-4112
197127,1971283,-14796,-264,-4206
197128,1971293,-14794,-190,-4164
197129,1971303,-14812,-206,-4210
197130,1971313,-14786,-250,-4140
197131,1971323,-14824,-262,-4122
197132,1971333,-14824,-250,-4186
197133,1971343,-14800,-272,-4202
197134,1971353,-14796,-188,-4126
197135,1971363,-14842,-244,-4176
197136,1971373,-14812,-266,-4150
197137,1971383,-14786,-258,-4194
197138,1971393,-14846,-310,-4114
197139,1971403,-14808,-218,-4148
197140,1971413,-14782,-212,-4206
197141,1971423,-14800,-220,-4160
197142,1971433,-14862,-260,-4208
197143,1971443,-14804,-240,-4088
197144,1971453,-14780,-226,-4162
197145,1971463,-14846,-230,-4134
197146,1971473,-14822,-280,-4186
197147,1971483,-14810,-260,-4132
197148,1971493,-14832,-202,-4158
197149,1971503,-14840,-262,-4174
197150,1971513,-14832,-272,-4252
197151,1971523,-14794,-254,-4160
197152,1971533,-14812,-252,-4134
197153,1971543,-14828,-246,-4122
197154,1971553,-14820,-266,-4184
197155,1971563,-14782,-248,-4212
197156,1971573,-14836,-206,-4160
197157,1971583,-14776,-228,-4138
197158,1971593,-14804,-220,-4094
197159,1971603,-14796,-218,-4160
197160,1971613,-14824,-220,-4144
197161,1971623,-14802,-258,-4136
197162,1971633,-14796,-250,-4138
197163,1971643,-14788,-272,-4154
197164,1971653,-14824,-220,-4226
197165,1971663,-14832,-284,-4142
197166,1971673,-14838,-276,-4172
197167,1971683,-14830,-216,-4172
197168,1971693,-14822,-270,-4180
197169,1971703,-14800,-240,-4128
197170,1971713,-14814,-206,-4148
