sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
113201,1132023,1002,16378,-4436
113202,1132033,1000,16362,-4480
113203,1132043,1030,16290,-4390
113204,1132053,954,16232,-4322
113205,1132063,1002,16276,-4310
113206,1132073,958,16286,-4404
113207,1132083,1008,16322,-4488
113208,1132093,986,16408,-4602
113209,1132103,1024,16394,-4550
113210,1132113,996,16382,-4398
113211,1132123,984,16358,-4416
113212,1132133,976,16310,-4464
113213,1132143,950,16276,-4392
113214,1132153,1008,16264,-4468
113215,1132163,1028,16252,-4460
113216,1132173,1026,16286,-4462
113217,1132183,964,16340,-4372
113218,1132193,934,16356,-4436
113219,1132203,1024,16338,-4428
113220,1132213,1042,16334,-4464
113221,1132223,1030,16274,-4472
113222,1132233,974,16360,-4448
113223,1132243,978,16320,-4448
113224,1132253,982,16358,-4382
113225,1132263,1020,16302,-4428
113226,1132273,1008,16308,-4402
113227,1132283,976,16286,-4454
113228,1132293,1002,16300,-4502
113229,1132303,986,16294,-4384
113230,1132313,996,16284,-4438
113231,1132323,968,16316,-4478
113232,1132333,962,16286,-4446
113233,1132343,952,16318,-4370
113234,1132353,982,16318,-4444
113235,1132363,996,16342,-4412
113236,1132373,1048,16382,-4512
113237,1132383,986,16388,-4508
113238,1132393,1020,16250,-4420
113239,1132403,1006,16328,-4464
113240,1132413,1028,16252,-4412
113241,1132423,950,16296,-4428
113242,1132433,1046,16260,-4420
113243,1132443,940,16280,-4384
113244,1132453,994,16334,-4510
113245,1132463,1024,16344,-4486
113246,1132473,1020,16402,-4440
113247,1132483,978,16428,-4512
113248,1132493,924,16370,-4436
113249,1132503,956,16302,-4502
113250,1132513,1010,16260,-4480
113251,1132523,1000,16334,-4426
113252,1132533,986,16326,-4450
113253,1132543,982,16290,-4442
113254,1132553,1042,16340,-4562
113255,1132563,966,16272,-4530
113256,1132573,980,16300,-4398
113257,1132583,948,16324,-4410
113258,1132593,996,16338,-4506
113259,1132603,1058,16316,-4406
113260,1132613,972,16330,-4592
113261,1132623,952,16334,-4412
113262,1132633,978,16322,-4560
113263,1132643,964,16282,-4372
113264,1132653,1018,16354,-4558
113265,1132663,1046,16304,-4444
113266,1132673,986,16370,-4384
113267,1132683,986,16338,-4388
113268,1132693,972,16340,-4404
113269,1132703,998,16410,-4502
113270,1132713,954,16318,-4434
113271,1132723,1004,16294,-4364
113272,1132733,1006,16348,-4518
113273,1132743,918,16270,-4418
113274,1132753,994,16344,-4484
113275,1132763,946,16358,-4476
113276,1132773,974,16274,-4528
113277,1132783,976,16252,-4438
113278,1132793,966,16268,-4452
113279,1132803,1070,16350,-4450
113280,1132813,998,16336,-4394
113281,1132823,1000,16378,-4370
113282,1132833,998,16324,-4568
113283,1132843,922,16330,-4420
113284,1132853,980,16338,-4670
113285,1132863,936,16308,-4448
113286,1132873,998,16304,-4314
113287,1132883,976,16308,-4438
113288,1132893,924,16302,-4396
113289,1132903,1048,16292,-4404
113290,1132913,934,16326,-4436
113291,1132923,1054,16322,-4512
113292,1132933,1088,16328,-4556
113293,1132943,938,16352,-4574
113294,1132953,1078,16370,-4350
113295,1132963,974,16298,-4478
113296,1132973,934,16314,-4530
113297,1132983,994,16288,-4376
113298,1132993,996,16284,-4382
113299,1133003,894,16254,-4486
113300,1133013,860,16292,-4386
113301,1133023,936,16354,-4474
113302,1133033,934,16312,-4526
113303,1133043,1010,16346,-4474
113304,1133053,942,16358,-4502
113305,1133063,918,16306,-4478
113306,1133073,980,16322,-4470
113307,1133083,954,16308,-4376
113308,1133093,948,16332,-4418
113309,1133103,950,16356,-4466
113310,1133113,948,16292,-4524
113311,1133123,1118,16284,-4418
113312,1133133,850,16272,-4462
113313,1133143,1064,16286,-4498
113314,1133153,966,16316,-4578
113315,1133163,932,16306,-4410
113316,1133173,958,16382,-4500
113317,1133183,956,16368,-4436
113318,1133193,1076,16306,-4410
113319,1133203,1066,16278,-4466
113320,1133213,934,16262,-4408
113321,1133223,1008,16338,-4514
113322,1133233,964,16370,-4408
113323,1133243,948,16358,-4404
113324,1133253,1012,16324,-4412
113325,1133263,1032,16308,-4562
113326,1133273,1050,16298,-4500
113327,1133283,912,16300,-4392
113328,1133293,966,16350,-4488
113329,1133303,1038,16386,-4488
113330,1133313,938,16338,-4430
113331,1133323,1036,16310,-4382
113332,1133333,966,16224,-4428
113333,1133343,946,16282,-4444
113334,1133353,988,16296,-4508
113335,1133363,984,16324,-4686
113336,1133373,1008,16376,-4454
113337,1133383,1078,16368,-4538
113338,1133393,926,16302,-4426
113339,1133403,1016,16314,-4544
113340,1133413,992,16286,-4422
113341,1133423,988,16286,-4336
113342,1133433,1002,16306,-4500
113343,1133443,974,16360,-4416
113344,1133453,982,16370,-4620
113345,1133463,1010,16338,-4484
113346,1133473,1004,16314,-4522
113347,1133483,1036,16274,-4514
113348,1133493,1008,16268,-4400
113349,1133503,972,16340,-4506
113350,1133513,940,16302,-4502
113351,1133523,960,16316,-4410
113352,1133533,930,16336,-4458
113353,1133543,988,16336,-4496
113354,1133553,970,16312,-4526
113355,1133563,1020,16420,-4590
113356,1133573,980,16376,-4520
113357,1133583,998,16322,-4326
113358,1133593,980,16302,-4438
113359,1133603,1030,16326,-4522
113360,1133613,1034,16298,-4404
113361,1133623,1110,16266,-4392
113362,1133633,952,16210,-4370
113363,1133643,998,16270,-4466
113364,1133653,932,16340,-4498
113365,1133663,970,16364,-4494
113366,1133673,1048,16380,-4416
113367,1133683,1004,16382,-4624
113368,1133693,1012,16350,-4476
113369,1133703,972,16282,-4482
113370,1133713,1010,16300,-4432
113371,1133723,994,16298,-4450
113372,1133733,970,16320,-4396
113373,1133743,1000,16300,-4406
113374,1133753,1002,16368,-4470
113375,1133763,1066,16346,-4408
113376,1133773,998,16282,-4306
113377,1133783,1012,16350,-4464
113378,1133793,1022,16340,-4486
113379,1133803,1016,16306,-4480
113380,1133813,1046,16348,-4460
113381,1133823,950,16330,-4432
113382,1133833,1000,16298,-4468
113383,1133843,1024,16280,-4466
113384,1133853,940,16272,-4444
113385,1133863,1046,16336,-4450
113386,1133873,918,16268,-4376
113387,1133883,972,16348,-4518
