sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
131945,1319463,1798,-16294,-3720
131946,1319473,1712,-16306,-3670
131947,1319483,1752,-16292,-3676
131948,1319493,1710,-16278,-3690
131949,1319503,1722,-16292,-3776
131950,1319513,1742,-16302,-3744
131951,1319523,1792,-16254,-3712
131952,1319533,1734,-16328,-3752
131953,1319543,1736,-16312,-3670
131954,1319553,1674,-16326,-3656
131955,1319563,1724,-16272,-3742
131956,1319573,1742,-16290,-3762
131957,1319583,1708,-16242,-3722
131958,1319593,1716,-16274,-3796
131959,1319603,1704,-16288,-3746
131960,1319613,1730,-16246,-3726
131961,1319623,1722,-16296,-3738
131962,1319633,1744,-16278,-3706
131963,1319643,1752,-16270,-3774
131964,1319653,1760,-16324,-3752
131965,1319663,1698,-16292,-3790
131966,1319673,1760,-16260,-3680
131967,1319683,1782,-16318,-3706
131968,1319693,1766,-16260,-3816
131969,1319703,1794,-16308,-3728
131970,1319713,1804,-16264,-3722
131971,1319723,1774,-16314,-3758
131972,1319733,1704,-16280,-3694
131973,1319743,1710,-16310,-3694
131974,1319753,1738,-16310,-3684
131975,1319763,1758,-16268,-3706
131976,1319773,1736,-16276,-3772
131977,1319783,1716,-16288,-3696
131978,1319793,1692,-16282,-3744
131979,1319803,1774,-16234,-3718
131980,1319813,1784,-16298,-3694
131981,1319823,1744,-16300,-3672
131982,1319833,1744,-16316,-3692
131983,1319843,1740,-16276,-3674
131984,1319853,1758,-16292,-3726
131985,1319863,1746,-16304,-3734
131986,1319873,1708,-16286,-3776
131987,1319883,1736,-16278,-3742
131988,1319893,1786,-16290,-3730
131989,1319903,1768,-16284,-3714
131990,1319913,1736,-16288,-3710
131991,1319923,1750,-16256,-3710
131992,1319933,1740,-16288,-3658
131993,1319943,1750,-16296,-3710
131994,1319953,1810,-16298,-3704
131995,1319963,1794,-16296,-3730
131996,1319973,1768,-16264,-3700
131997,1319983,1778,-16290,-3664
131998,1319993,1760,-16266,-3716
131999,1320003,1704,-16308,-3770
132000,1320013,1734,-16314,-3750
132001,1320023,1730,-16254,-3718
132002,1320033,1782,-16280,-3720
132003,1320043,1682,-16312,-3648
132004,1320053,1734,-16282,-3684
132005,1320063,1828,-16284,-3640
132006,1320073,1754,-16284,-3676
132007,1320083,1732,-16274,-3710
132008,1320093,1768,-16306,-3646
132009,1320103,1746,-16276,-3676
132010,1320113,1762,-16300,-3718
132011,1320123,1732,-16322,-3712
132012,1320133,1716,-16266,-3764
