sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
204585,2045863,1718,-340,12194
204586,2045873,1682,-338,12110
204587,2045883,1714,-394,12124
204588,2045893,1716,-352,12144
204589,2045903,1700,-358,12166
204590,2045913,1720,-354,12084
204591,2045923,1748,-392,12160
204592,2045933,1684,-368,12138
204593,2045943,1692,-374,12156
204594,2045953,1662,-360,12210
204595,2045963,1728,-390,12152
204596,2045973,1704,-358,12176
204597,2045983,1712,-372,12154
204598,2045993,1702,-350,12118
204599,2046003,1710,-328,12174
204600,2046013,1670,-370,12162
204601,2046023,1680,-366,12170
204602,2046033,1670,-378,12216
204603,2046043,1746,-338,12174
204604,2046053,1682,-364,12096
204605,2046063,1688,-380,12198
204606,2046073,1696,-344,12136
204607,2046083,1640,-354,12120
204608,2046093,1698,-366,12184
204609,2046103,1744,-326,12186
204610,2046113,1686,-402,12078
204611,2046123,1690,-350,12192
204612,2046133,1688,-352,12172
204613,2046143,1688,-340,12152
204614,2046153,1722,-386,12036
204615,2046163,1716,-344,12130
204616,2046173,1680,-338,12168
204617,2046183,1684,-400,12150
204618,2046193,1656,-372,12098
204619,2046203,1706,-348,12158
204620,2046213,1688,-334,12180
204621,2046223,1686,-374,12086
204622,2046233,1666,-396,12122
204623,2046243,1698,-386,12182
204624,2046253,1696,-394,12166
204625,2046263,1714,-378,12126
204626,2046273,1712,-350,12126
204627,2046283,1654,-394,12100
204628,2046293,1694,-408,12106
204629,2046303,1704,-366,12104
204630,2046313,1690,-374,12128
204631,2046323,1712,-404,12180
204632,2046333,1712,-350,12146
204633,2046343,1708,-354,12066
204634,2046353,1734,-366,12174
204635,2046363,1706,-338,12158
204636,2046373,1668,-408,12170
204637,2046383,1710,-370,12116
204638,2046393,1694,-370,12158
204639,2046403,1722,-360,12192
204640,2046413,1690,-384,12182
204641,2046423,1746,-402,12102
204642,2046433,1738,-386,12130
204643,2046443,1736,-412,12196
204644,2046453,1724,-338,12098
204645,2046463,1706,-358,12076
204646,2046473,1702,-402,12154
204647,2046483,1704,-364,12132
204648,2046493,1710,-386,12110
204649,2046503,1760,-378,12154
204650,2046513,1708,-368,12152
204651,2046523,1712,-332,12134
204652,2046533,1692,-332,12112
204653,2046543,1730,-380,12112
204654,2046553,1716,-386,12086
204655,2046563,1690,-376,12172
204656,2046573,1712,-326,12090
204657,2046583,1730,-306,12240
204658,2046593,1680,-340,12156
204659,2046603,1734,-378,12082
204660,2046613,1664,-392,12138
204661,2046623,1730,-400,12182
204662,2046633,1688,-384,12162
204663,2046643,1682,-396,12144
204664,2046653,1752,-346,12166
204665,2046663,1678,-356,12144
204666,2046673,1694,-384,12196
204667,2046683,1690,-422,12128
204668,2046693,1732,-364,12096
204669,2046703,1688,-386,12134
204670,2046713,1736,-386,12150
204671,2046723,1638,-362,12120
204672,2046733,1698,-352,12158
204673,2046743,1704,-382,12120
204674,2046753,1680,-380,12110
204675,2046763,1704,-400,12062
204676,2046773,1686,-412,12134
204677,2046783,1644,-312,12102
204678,2046793,1666,-362,12134
204679,2046803,1694,-310,12192
204680,2046813,1690,-376,12122
204681,2046823,1706,-372,12138
204682,2046833,1694,-352,12094
204683,2046843,1706,-408,12122
204684,2046853,1724,-358,12178
204685,2046863,1730,-374,12156
204686,2046873,1746,-378,12154
204687,2046883,1706,-356,12178
204688,2046893,1740,-356,12132
204689,2046903,1752,-346,12174
204690,2046913,1694,-392,12102
204691,2046923,1704,-402,12116
204692,2046933,1734,-366,12122
204693,2046943,1720,-332,12140
204694,2046953,1736,-364,12100
204695,2046963,1728,-408,12180
204696,2046973,1702,-312,12178
204697,2046983,1672,-372,12124
204698,2046993,1678,-394,12156
204699,2047003,1712,-360,12128
204700,2047013,1722,-382,12126
204701,2047023,1700,-364,12152
204702,2047033,1738,-360,12200
204703,2047043,1728,-362,12026
204704,2047053,1726,-350,12136
204705,2047063,1706,-390,12052
204706,2047073,1696,-370,12142
204707,2047083,1678,-354,12082
204708,2047093,1732,-394,12176
204709,2047103,1756,-336,12134
204710,2047113,1726,-334,12126
204711,2047123,1712,-358,12122
204712,2047133,1670,-352,12142
204713,2047143,1736,-352,12098
204714,2047153,1744,-390,12062
204715,2047163,1718,-416,12090
204716,2047173,1730,-384,12062
204717,2047183,1768,-366,12092
204718,2047193,1710,-346,12108
204719,2047203,1688,-418,12106
204720,2047213,1686,-430,12080
204721,2047223,1720,-332,12100
204722,2047233,1684,-396,12154
204723,2047243,1630,-386,12104
204724,2047253,1698,-338,12132
204725,2047263,1704,-398,12080
204726,2047273,1720,-348,12128
204727,2047283,1680,-368,12144
204728,2047293,1672,-364,12092
204729,2047303,1682,-404,12112
204730,2047313,1682,-430,12108
204731,2047323,1740,-400,12110
204732,2047333,1712,-370,12146
204733,2047343,1684,-380,12198
204734,2047353,1734,-316,12160
204735,2047363,1704,-366,12124
204736,2047373,1730,-322,12128
204737,2047383,1678,-376,12162
204738,2047393,1732,-390,12146
204739,2047403,1716,-394,12168
204740,2047413,1704,-336,12142
204741,2047423,1728,-410,12130
204742,2047433,1710,-388,12044
204743,2047443,1706,-356,12186
204744,2047453,1698,-350,12122
204745,2047463,1718,-338,12114
204746,2047473,1682,-382,12104
204747,2047483,1690,-400,12142
204748,2047493,1716,-358,12202
204749,2047503,1700,-368,12136
204750,2047513,1736,-380,12142
204751,2047523,1696,-386,12130
204752,2047533,1678,-414,12114
204753,2047543,1728,-366,12136
204754,2047553,1714,-360,12186
204755,2047563,1758,-362,12142
204756,2047573,1730,-354,12150
204757,2047583,1732,-378,12124
204758,2047593,1732,-348,12164
204759,2047603,1720,-344,12168
204760,2047613,1732,-346,12112
204761,2047623,1756,-382,12086
204762,2047633,1708,-390,12090
204763,2047643,1722,-380,12172
204764,2047653,1708,-364,12122
204765,2047663,1708,-388,12092
204766,2047673,1704,-348,12150
204767,2047683,1692,-374,12164
204768,2047693,1698,-316,12080
204769,2047703,1700,-358,12094
204770,2047713,1728,-378,12190
204771,2047723,1716,-326,12060
204772,2047733,1702,-314,12098
204773,2047743,1724,-370,12102
204774,2047753,1740,-374,12142
204775,2047763,1712,-414,12022
204776,2047773,1710,-384,12108
204777,2047783,1684,-392,12128
204778,2047793,1696,-374,12144
204779,2047803,1708,-386,12158
204780,2047813,1666,-382,12162
204781,2047823,1684,-326,12136
204782,2047833,1698,-344,12134
204783,2047843,1684,-372,12166
204784,2047853,1662,-400,12090
204785,2047863,1678,-394,12140
204786,2047873,1736,-374,12120
204787,2047883,1688,-316,12174
204788,2047893,1696,-336,12142
204789,2047903,1750,-360,12122
204790,2047913,1682,-376,12074
204791,2047923,1728,-400,12104
204792,2047933,1726,-388,12106
204793,2047943,1698,-350,12130
204794,2047953,1666,-368,12112
204795,2047963,1656,-368,12182
204796,2047973,1700,-356,12182
204797,2047983,1688,-378,12132
204798,2047993,1674,-338,12054
204799,2048003,1684,-378,12164
204800,2048013,1730,-378,12130
204801,2048023,1694,-366,12144
204802,2048033,1678,-348,12144
204803,2048043,1678,-330,12126
204804,2048053,1746,-388,12160
204805,2048063,1696,-350,12170
204806,2048073,1716,-352,12082
204807,2048083,1688,-390,12094
204808,2048093,1702,-376,12130
204809,2048103,1702,-368,12126
204810,2048113,1692,-382,12006
204811,2048123,1684,-382,12170
204812,2048133,1722,-350,12110
204813,2048143,1690,-348,12142
204814,2048153,1656,-346,12122
204815,2048163,1748,-376,12116
204816,2048173,1666,-386,12134
204817,2048183,1740,-374,12140
204818,2048193,1718,-340,12156
204819,2048203,1696,-348,12088
204820,2048213,1680,-366,12088
204821,2048223,1708,-354,12140
204822,2048233,1766,-410,12176
204823,2048243,1712,-362,12150
204824,2048253,1694,-356,12140
204825,2048263,1672,-388,12122
204826,2048273,1746,-364,12148
204827,2048283,1686,-366,12160
204828,2048293,1748,-392,12130
204829,2048303,1680,-394,12124
204830,2048313,1678,-400,12134
204831,2048323,1730,-344,12134
204832,2048333,1692,-376,12132
204833,2048343,1680,-398,12092
204834,2048353,1718,-366,12118
204835,2048363,1678,-342,12142
204836,2048373,1708,-420,12080
204837,2048383,1696,-370,12142
204838,2048393,1700,-366,12110
204839,2048403,1710,-356,12132
204840,2048413,1774,-344,12130
204841,2048423,1754,-360,12092
204842,2048433,1738,-388,12152
204843,2048443,1664,-372,12126
204844,2048453,1730,-370,12100
204845,2048463,1720,-352,12088
204846,2048473,1680,-358,12094
204847,2048483,1686,-344,12078
204848,2048493,1678,-358,12142
204849,2048503,1710,-360,12086
204850,2048513,1718,-356,12106
204851,2048523,1688,-354,12158
204852,2048533,1706,-350,12122
204853,2048543,1644,-412,12096
204854,2048553,1720,-378,12126
204855,2048563,1732,-360,12096
204856,2048573,1724,-360,12084
204857,2048583,1672,-342,12128
204858,2048593,1700,-396,12120
204859,2048603,1688,-358,12082
204860,2048613,1706,-366,12070
204861,2048623,1746,-332,12120
204862,2048633,1716,-348,12066
204863,2048643,1702,-364,12130
204864,2048653,1732,-382,12048
204865,2048663,1706,-354,12172
204866,2048673,1708,-392,12172
204867,2048683,1708,-448,12068
204868,2048693,1688,-372,12104
204869,2048703,1706,-356,12150
204870,2048713,1696,-368,12164
204871,2048723,1688,-364,12190
204872,2048733,1700,-364,12160
204873,2048743,1730,-378,12196
204874,2048753,1734,-332,12180
204875,2048763,1678,-398,12146
204876,2048773,1716,-350,12120
204877,2048783,1674,-392,12080
204878,2048793,1708,-412,12124
204879,2048803,1700,-378,12148
204880,2048813,1746,-360,12096
204881,2048823,1702,-350,12150
204882,2048833,1686,-368,12088
204883,2048843,1706,-390,12088
204884,2048853,1698,-360,12104
204885,2048863,1688,-324,12142
204886,2048873,1710,-408,12126
204887,2048883,1674,-364,12130
204888,2048893,1714,-362,12164
204889,2048903,1718,-350,12144
204890,2048913,1686,-364,12116
204891,2048923,1734,-348,12118
204892,2048933,1752,-364,12192
204893,2048943,1696,-320,12098
204894,2048953,1706,-400,12148
204895,2048963,1702,-358,12148
204896,2048973,1718,-360,12118
204897,2048983,1708,-344,12158
204898,2048993,1702,-374,12102
204899,2049003,1666,-400,12150
204900,2049013,1716,-382,12168
204901,2049023,1670,-370,12162
204902,2049033,1698,-364,12176
204903,2049043,1700,-364,12024
204904,2049053,1734,-356,12186
204905,2049063,1680,-338,12168
204906,2049073,1726,-374,12004
204907,2049083,1648,-372,12144
204908,2049093,1696,-372,12110
204909,2049103,1666,-352,12080
204910,2049113,1698,-406,12172
204911,2049123,1716,-352,12090
204912,2049133,1720,-404,12040
204913,2049143,1644,-386,12114
204914,2049153,1646,-378,12128
204915,2049163,1692,-376,12154
204916,2049173,1712,-342,12068
204917,2049183,1724,-346,12146
204918,2049193,1718,-418,12152
204919,2049203,1716,-352,12160
204920,2049213,1688,-364,12160
204921,2049223,1706,-374,12182
204922,2049233,1728,-346,12168
204923,2049243,1770,-378,12106
204924,2049253,1712,-370,12140
204925,2049263,1696,-382,12116
204926,2049273,1752,-392,12114
204927,2049283,1670,-374,12144
204928,2049293,1690,-370,12128
204929,2049303,1724,-386,12156
204930,2049313,1692,-386,12084
204931,2049323,1672,-362,12120
204932,2049333,1656,-366,12116
204933,2049343,1684,-406,12120
204934,2049353,1718,-354,12198
204935,2049363,1762,-340,12098
204936,2049373,1710,-376,12130
204937,2049383,1706,-358,12092
204938,2049393,1686,-384,12142
204939,2049403,1748,-368,12160
204940,2049413,1698,-354,12230
204941,2049423,1670,-392,12132
204942,2049433,1702,-408,12116
204943,2049443,1704,-390,12132
204944,2049453,1706,-360,12072
204945,2049463,1666,-368,12146
204946,2049473,1682,-346,12142
204947,2049483,1726,-356,12052
204948,2049493,1716,-362,12044
204949,2049503,1722,-358,12122
204950,2049513,1692,-372,12112
204951,2049523,1698,-358,12122
204952,2049533,1726,-386,12038
204953,2049543,1708,-384,12142
204954,2049553,1766,-378,12124
204955,2049563,1724,-350,12154
204956,2049573,1680,-380,12130
204957,2049583,1712,-402,12106
204958,2049593,1740,-382,12094
204959,2049603,1744,-350,12190
204960,2049613,1682,-344,12072
204961,2049623,1696,-392,12126
204962,2049633,1666,-366,12100
204963,2049643,1690,-364,12188
204964,2049653,1690,-344,12164
204965,2049663,1710,-398,12174
204966,2049673,1718,-404,12114
204967,2049683,1710,-342,12098
