sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
139373,1393743,1694,46,-21568
139374,1393753,1742,72,-21504
139375,1393763,1752,24,-21582
139376,1393773,1734,18,-21536
139377,1393783,1690,28,-21556
139378,1393793,1696,38,-21568
139379,1393803,1698,36,-21582
139380,1393813,1716,66,-21502
139381,1393823,1702,80,-21472
139382,1393833,1752,82,-21586
139383,1393843,1746,48,-21550
139384,1393853,1754,14,-21580
139385,1393863,1724,62,-21542
139386,1393873,1692,66,-21558
139387,1393883,1712,56,-21524
139388,1393893,1738,70,-21474
139389,1393903,1720,72,-21544
139390,1393913,1688,38,-21578
139391,1393923,1672,54,-21562
139392,1393933,1692,22,-21526
139393,1393943,1710,36,-21594
139394,1393953,1778,40,-21636
139395,1393963,1720,50,-21582
139396,1393973,1720,42,-21628
139397,1393983,1686,30,-21534
139398,1393993,1756,30,-21522
139399,1394003,1672,20,-21642
139400,1394013,1718,12,-21536
139401,1394023,1724,34,-21576
139402,1394033,1706,18,-21552
139403,1394043,1684,24,-21584
139404,1394053,1694,44,-21592
139405,1394063,1724,-6,-21608
139406,1394073,1732,58,-21574
139407,1394083,1726,30,-21508
139408,1394093,1670,62,-21634
139409,1394103,1702,56,-21574
139410,1394113,1728,70,-21580
139411,1394123,1696,82,-21518
139412,1394133,1710,4,-21544
139413,1394143,1726,40,-21564
139414,1394153,1670,16,-21532
139415,1394163,1698,54,-21532
139416,1394173,1738,28,-21588
139417,1394183,1710,0,-21500
139418,1394193,1684,26,-21596
139419,1394203,1706,28,-21530
139420,1394213,1684,68,-21540
139421,1394223,1718,78,-21516
139422,1394233,1708,46,-21514
139423,1394243,1736,52,-21526
139424,1394253,1720,48,-21484
139425,1394263,1722,44,-21520
139426,1394273,1676,4,-21364
139427,1394283,1706,52,-21690
139428,1394293,1696,66,-21582
139429,1394303,1730,68,-21574
139430,1394313,1760,34,-21550
139431,1394323,1700,72,-21452
139432,1394333,1658,28,-21542
139433,1394343,1690,28,-21542
139434,1394353,1754,28,-21480
