sample_index,timestamp_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_calibrated_g,ay_calibrated_g,az_calibrated_g,gx_dps,gy_dps,gz_dps
87936,879373,1704,-38,12050,-83,-193,-283,0.01179,-0.00376,0.99855,-0.63359,-1.47328,-2.16031
87937,879383,1754,-10,12046,-73,-190,-279,0.01486,-0.00204,0.99831,-0.55725,-1.45038,-2.12977
87938,879393,1774,-32,12052,-78,-181,-282,0.01608,-0.00339,0.99867,-0.59542,-1.38168,-2.15267
87939,879403,1758,-52,12002,-79,-179,-281,0.0151,-0.00462,0.9957,-0.60305,-1.36641,-2.14504
87940,879413,1724,-36,12002,-72,-176,-276,0.01302,-0.00364,0.9957,-0.54962,-1.34351,-2.10687
87941,879423,1730,-38,12052,-74,-175,-278,0.01338,-0.00376,0.99867,-0.56489,-1.33588,-2.12214
87942,879433,1720,-70,12144,-84,-168,-278,0.01277,-0.00572,1.00414,-0.64122,-1.28244,-2.12214
87943,879443,1762,-36,12060,-76,-175,-280,0.01535,-0.00364,0.99914,-0.58015,-1.33588,-2.1374
87944,879453,1696,-36,12036,-74,-194,-281,0.0113,-0.00364,0.99772,-0.56489,-1.48092,-2.14504
87945,879463,1744,-32,12088,-72,-184,-284,0.01424,-0.00339,1.00081,-0.54962,-1.40458,-2.16794
87946,879473,1710,4,12036,-79,-179,-281,0.01216,-0.00118,0.99772,-0.60305,-1.36641,-2.14504
87947,879483,1724,-66,12058,-78,-182,-286,0.01302,-0.00548,0.99903,-0.59542,-1.38931,-2.18321
87948,879493,1698,-28,12046,-77,-196,-284,0.01142,-0.00315,0.99831,-0.58779,-1.49618,-2.16794
87949,879503,1702,-42,12074,-75,-192,-281,0.01167,-0.00401,0.99998,-0.57252,-1.46565,-2.14504
87950,879513,1726,-18,12056,-70,-185,-279,0.01314,-0.00253,0.99891,-0.53435,-1.41221,-2.12977
87951,879523,1730,-8,12020,-78,-196,-278,0.01338,-0.00192,0.99677,-0.59542,-1.49618,-2.12214
87952,879533,1742,-72,12092,-73,-192,-279,0.01412,-0.00585,1.00105,-0.55725,-1.46565,-2.12977
87953,879543,1722,-82,12050,-75,-190,-281,0.01289,-0.00646,0.99855,-0.57252,-1.45038,-2.14504
87954,879553,1740,-30,12036,-82,-188,-282,0.014,-0.00327,0.99772,-0.62595,-1.43511,-2.15267
87955,879563,1706,2,12092,-75,-183,-282,0.01191,-0.00131,1.00105,-0.57252,-1.39695,-2.15267
87956,879573,1740,-60,12054,-82,-180,-282,0.014,-0.00511,0.99879,-0.62595,-1.37405,-2.15267
87957,879583,1734,12,12146,-77,-192,-283,0.01363,-0.00069,1.00425,-0.58779,-1.46565,-2.16031
87958,879593,1724,-4,11978,-78,-185,-279,0.01302,-0.00167,0.99427,-0.59542,-1.41221,-2.12977
87959,879603,1766,-56,12018,-76,-178,-274,0.01559,-0.00486,0.99665,-0.58015,-1.35878,-2.0916
87960,879613,1726,-20,12098,-77,-178,-288,0.01314,-0.00266,1.0014,-0.58779,-1.35878,-2.19847
87961,879623,1782,-36,12068,-76,-188,-283,0.01657,-0.00364,0.99962,-0.58015,-1.43511,-2.16031
87962,879633,1684,-30,11954,-79,-187,-278,0.01056,-0.00327,0.99285,-0.60305,-1.42748,-2.12214
87963,879643,1706,-44,12016,-78,-182,-280,0.01191,-0.00413,0.99653,-0.59542,-1.38931,-2.1374
87964,879653,1656,-40,12052,-81,-183,-284,0.00884,-0.00388,0.99867,-0.61832,-1.39695,-2.16794
87965,879663,1722,0,11998,-72,-175,-287,0.01289,-0.00143,0.99546,-0.54962,-1.33588,-2.19084
87966,879673,1738,-64,12040,-72,-188,-283,0.01387,-0.00536,0.99796,-0.54962,-1.43511,-2.16031
87967,879683,1724,-20,12020,-80,-193,-283,0.01302,-0.00266,0.99677,-0.61069,-1.47328,-2.16031
87968,879693,1744,-14,12014,-77,-190,-280,0.01424,-0.00229,0.99641,-0.58779,-1.45038,-2.1374
87969,879703,1792,-80,12082,-76,-175,-279,0.01719,-0.00634,1.00045,-0.58015,-1.33588,-2.12977
87970,879713,1750,-76,12036,-82,-181,-279,0.01461,-0.00609,0.99772,-0.62595,-1.38168,-2.12977
87971,879723,1740,-38,12036,-77,-181,-282,0.014,-0.00376,0.99772,-0.58779,-1.38168,-2.15267
87972,879733,1770,-12,12074,-71,-180,-286,0.01584,-0.00217,0.99998,-0.54198,-1.37405,-2.18321
87973,879743,1762,-32,12148,-79,-193,-284,0.01535,-0.00339,1.00437,-0.60305,-1.47328,-2.16794
87974,879753,1768,-36,12096,-79,-189,-283,0.01572,-0.00364,1.00128,-0.60305,-1.44275,-2.16031
87975,879763,1730,-50,12054,-75,-175,-279,0.01338,-0.0045,0.99879,-0.57252,-1.33588,-2.12977
87976,879773,1718,-30,12010,-74,-185,-280,0.01265,-0.00327,0.99617,-0.56489,-1.41221,-2.1374
87977,879783,1728,-62,12096,-76,-176,-282,0.01326,-0.00523,1.00128,-0.58015,-1.34351,-2.15267
87978,879793,1740,-46,12054,-75,-181,-282,0.014,-0.00425,0.99879,-0.57252,-1.38168,-2.15267
87979,879803,1732,-8,12070,-75,-184,-281,0.01351,-0.00192,0.99974,-0.57252,-1.40458,-2.14504
87980,879813,1748,-22,12028,-78,-184,-283,0.01449,-0.00278,0.99724,-0.59542,-1.40458,-2.16031
87981,879823,1702,-32,12024,-76,-179,-277,0.01167,-0.00339,0.99701,-0.58015,-1.36641,-2.1145
87982,879833,1746,-20,12012,-77,-184,-277,0.01437,-0.00266,0.99629,-0.58779,-1.40458,-2.1145
87983,879843,1724,-16,12012,-79,-185,-279,0.01302,-0.00241,0.99629,-0.60305,-1.41221,-2.12977
87984,879853,1758,-4,12068,-77,-192,-277,0.0151,-0.00167,0.99962,-0.58779,-1.46565,-2.1145
87985,879863,1732,-38,12044,-77,-181,-281,0.01351,-0.00376,0.99819,-0.58779,-1.38168,-2.14504
87986,879873,1710,6,12004,-81,-184,-287,0.01216,-0.00106,0.99582,-0.61832,-1.40458,-2.19084
87987,879883,1752,-36,12058,-73,-177,-286,0.01473,-0.00364,0.99903,-0.55725,-1.35115,-2.18321
87988,879893,1738,-74,12088,-79,-185,-285,0.01387,-0.00597,1.00081,-0.60305,-1.41221,-2.17557
