sample_index,timestamp_ms,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_acc_deg,pitch_acc_deg,accel_magnitude_g,roll_kf_deg,pitch_kf_deg,roll_bias_dps,pitch_bias_dps,roll_k_angle,pitch_k_angle,qw,qx,qy,qz,mahony_roll_deg,mahony_pitch_deg,mahony_yaw_deg
138414,1384153,1838,-266,12018,-19,-378,-273,0.02001,-0.01775,0.99665,0.44885,-1.48244,0.06031,-1.02007,-1.15009,0.99701,-1.06698,-0.8198,0.103069,0.114317,0.018052,0.018052,0.85537,-0.004086,-0.010335,0.517899,-1.01402,-0.77054,62.39398
138415,1384163,1824,-264,12014,-111,-177,-279,0.01915,-0.01762,0.99641,-0.25344,0.05191,0.0145,-1.01326,-1.10099,0.99675,-1.06952,-0.82541,0.102972,0.11479,0.017803,0.017803,0.855369,-0.004078,-0.010391,0.517899,-1.01654,-0.77656,62.39411
138416,1384173,1784,-294,12028,-154,-50,-277,0.0167,-0.01946,0.99724,-0.58168,1.02137,0.02977,-1.11811,-0.95908,0.99757,-1.07715,-0.819,0.103046,0.115042,0.018586,0.018586,0.855368,-0.004166,-0.010378,0.5179,-1.02438,-0.76997,62.39425
138417,1384183,1774,-292,12106,-167,0,-269,0.01608,-0.01934,1.00188,-0.68092,1.40305,0.09084,-1.10593,-0.91957,1.00219,-1.08538,-0.80825,0.103083,0.115244,0.018772,0.018772,0.855365,-0.004279,-0.010333,0.517906,-1.03282,-0.7589,62.39493
138418,1384193,1810,-260,12076,-118,-50,-267,0.01829,-0.01738,1.0001,-0.30687,1.02137,0.10611,-0.99548,-1.04775,1.00041,-1.08763,-0.80407,0.102908,0.115706,0.01962,0.01962,0.855361,-0.004317,-0.010311,0.517912,-1.03515,-0.75445,62.39579
138419,1384203,1822,-276,12050,-81,-129,-270,0.01903,-0.01836,0.99855,-0.02443,0.41832,0.08321,-1.05332,-1.09158,0.9989,-1.08822,-0.80668,0.102843,0.11624,0.019401,0.019401,0.855357,-0.00431,-0.010332,0.517918,-1.03577,-0.75699,62.39656
138420,1384213,1784,-294,12030,-95,-104,-270,0.0167,-0.01946,0.99736,-0.1313,0.60916,0.08321,-1.11798,-0.95896,0.99769,-1.09107,-0.80468,0.102891,0.116518,0.01864,0.01864,0.855354,-0.004341,-0.01033,0.517923,-1.03873,-0.7549,62.3973
138421,1384223,1774,-308,12080,-124,-30,-265,0.01608,-0.02032,1.00033,-0.35267,1.17405,0.12137,-1.16383,-0.92097,1.00067,-1.09696,-0.79658,0.103017,0.116753,0.019527,0.019527,0.855349,-0.004424,-0.010294,0.517931,-1.04477,-0.74646,62.39833
138422,1384233,1758,-322,12124,-166,54,-253,0.0151,-0.02118,1.00295,-0.67328,1.81527,0.21298,-1.20983,-0.86249,1.00328,-1.10658,-0.78106,0.103194,0.116892,0.017719,0.017719,0.85534,-0.004571,-0.010221,0.517946,-1.05479,-0.73057,62.40017
138423,1384243,1778,-280,12112,-103,-32,-237,0.01633,-0.0186,1.00223,-0.19237,1.15878,0.33511,-1.06347,-0.93328,1.00254,-1.10869,-0.77364,0.103113,0.117177,0.018443,0.018443,0.855326,-0.004621,-0.010174,0.51797,-1.05693,-0.72295,62.40331
138424,1384253,1766,-266,12006,-84,-50,-230,0.01559,-0.01775,0.99594,-0.04733,1.02137,0.38855,-1.0208,-0.89685,0.99622,-1.10866,-0.76688,0.102968,0.117393,0.017197,0.017197,0.855309,-0.00465,-0.010122,0.517998,-1.05673,-0.71609,62.40699
138425,1384263,1752,-276,12186,-56,-98,-222,0.01473,-0.01836,1.00663,0.16641,0.65496,0.44962,-1.04486,-0.83843,1.00691,-1.10718,-0.76253,0.102888,0.11749,0.01338,0.01338,0.85529,-0.004655,-0.010082,0.518031,-1.0549,-0.7118,62.41136
138426,1384273,1710,-282,12054,-52,-98,-214,0.01216,-0.01873,0.99879,0.19695,0.65496,0.51069,-1.07417,-0.69721,0.99904,-1.10561,-0.75598,0.102828,0.117379,0.019559,0.019559,0.855267,-0.004675,-0.010024,0.518069,-1.05338,-0.70486,62.41635
138427,1384283,1682,-334,12084,-68,-54,-211,0.01044,-0.02192,1.00057,0.07481,0.99084,0.53359,-1.25484,-0.59757,1.00086,-1.1088,-0.74432,0.103105,0.117101,0.019571,0.019571,0.855244,-0.004754,-0.009948,0.518109,-1.05672,-0.69271,62.42155
138428,1384293,1718,-300,12074,-72,-51,-215,0.01265,-0.01983,0.99998,0.04427,1.01374,0.50305,-1.13614,-0.72448,1.00025,-1.10992,-0.73514,0.103154,0.117081,0.019681,0.019681,0.855222,-0.004806,-0.009882,0.518146,-1.05792,-0.68312,62.42641
138429,1384303,1758,-286,12080,-55,-107,-216,0.0151,-0.01897,1.00033,0.17405,0.58626,0.49542,-1.08656,-0.86478,1.00063,-1.10877,-0.73308,0.103112,0.11733,0.019594,0.019594,0.8552,-0.004808,-0.00986,0.518182,-1.05681,-0.6808,62.43127
138430,1384313,1804,-298,12096,-41,-147,-213,0.01792,-0.01971,1.00128,0.28092,0.28092,0.51832,-1.12764,-1.0254,1.00164,-1.10738,-0.73707,0.10315,0.117864,0.019145,0.019145,0.855177,-0.00478,-0.009884,0.51822,-1.05548,-0.68477,62.43642
138431,1384323,1714,-296,12094,-32,-186,-213,0.0124,-0.01959,1.00116,0.34962,-0.01679,0.51832,-1.12075,-0.70959,1.00143,-1.10522,-0.73786,0.103179,0.117811,0.019249,0.019249,0.855153,-0.004761,-0.009879,0.518259,-1.05334,-0.68534,62.44162
138432,1384333,1664,-320,12136,-32,-176,-213,0.00933,-0.02106,1.00366,0.34962,0.05954,0.51832,-1.20197,-0.5327,1.00392,-1.10445,-0.73494,0.103339,0.117479,0.017048,0.017048,0.85513,-0.004773,-0.009849,0.518299,-1.05284,-0.68164,62.44682
138433,1384343,1712,-288,12094,-49,-143,-217,0.01228,-0.0191,1.00116,0.21985,0.31145,0.48779,-1.09268,-0.70257,1.00142,-1.10308,-0.73241,0.10332,0.117423,0.019269,0.019269,0.855108,-0.004775,-0.009822,0.518335,-1.05149,-0.67885,62.45165
138434,1384353,1752,-312,12124,-56,-112,-214,0.01473,-0.02057,1.00295,0.16641,0.54809,0.51069,-1.1748,-0.84147,1.00327,-1.10374,-0.73012,0.103442,0.117614,0.017777,0.017777,0.855085,-0.004792,-0.009809,0.518373,-1.05233,-0.6765,62.45668
138435,1384363,1732,-280,12072,-58,-118,-213,0.01351,-0.0186,0.99986,0.15115,0.50229,0.51832,-1.066,-0.7738,1.00012,-1.10253,-0.72721,0.103372,0.117703,0.019648,0.019648,0.855062,-0.004797,-0.00978,0.518411,-1.05115,-0.67333,62.46178
138436,1384373,1680,-298,12132,-58,-96,-207,0.01032,-0.01971,1.00342,0.15115,0.67023,0.56412,-1.12523,-0.58889,1.00367,-1.10245,-0.71938,0.10341,0.117485,0.01734,0.01734,0.855037,-0.004835,-0.009717,0.518453,-1.05116,-0.66486,62.46732
138437,1384383,1770,-328,12074,-60,-79,-205,0.01584,-0.02155,0.99998,0.13588,0.8,0.57939,-1.2345,-0.90722,1.00033,-1.10472,-0.71638,0.103657,0.117847,0.01963,0.01963,0.855011,-0.004867,-0.009704,0.518496,-1.05354,-0.6616,62.473
138438,1384393,1714,-242,12146,-70,-69,-209,0.0124,-0.01627,1.00425,0.05954,0.87634,0.54885,-0.92838,-0.70745,1.00446,-1.10226,-0.70877,0.103381,0.117845,0.016423,0.016423,0.854987,-0.00488,-0.009631,0.518536,-1.05055,-0.65363,62.47829
