sample_index,timestamp_ms,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_acc_deg,pitch_acc_deg,accel_magnitude_g,roll_kf_deg,pitch_kf_deg,roll_bias_dps,pitch_bias_dps,roll_k_angle,pitch_k_angle,qw,qx,qy,qz,mahony_roll_deg,mahony_pitch_deg,mahony_yaw_deg
160836,1608373,1546,-134,12132,-137,278,-1188,0.00209,-0.00965,1.00342,-0.45191,3.52519,-6.92443,-0.55094,-0.11948,1.00347,-1.2148,-0.90636,0.020851,0.08704,0.028488,0.028488,0.458557,0.002429,-0.01233,0.888576,-1.12805,-0.89533,125.41608
160837,1608383,1622,-340,12038,-93,19,-364,0.00676,-0.02229,0.99784,-0.11603,1.54809,-0.63435,-1.27939,-0.38785,0.99811,-1.21808,-0.87651,0.021029,0.08562,0.030254,0.030254,0.458607,0.002215,-0.01226,0.888552,-1.13213,-0.86986,125.40948
160838,1608393,1620,-308,12002,-99,-105,-305,0.00663,-0.02032,0.9957,-0.16183,0.60153,-0.18397,-1.16924,-0.38164,0.99593,-1.21857,-0.85837,0.020904,0.084412,0.026493,0.026493,0.458622,0.002085,-0.012216,0.888545,-1.13445,-0.85428,125.40753
160839,1608403,1658,-326,12088,-107,-192,-308,0.00897,-0.02143,1.00081,-0.2229,-0.0626,-0.20687,-1.22646,-0.51314,1.00108,-1.22117,-0.84944,0.020919,0.083444,0.029992,0.029992,0.458637,0.002021,-0.012222,0.888537,-1.13848,-0.84813,125.40549
160840,1608413,1698,-286,12048,-100,-229,-308,0.01142,-0.01897,0.99843,-0.16947,-0.34504,-0.20687,-1.08863,-0.65521,0.99868,-1.21913,-0.84791,0.020552,0.082902,0.029316,0.029316,0.458653,0.002015,-0.012226,0.888529,-1.13915,-0.84777,125.4035
160841,1608423,1638,-294,12060,-97,-208,-304,0.00774,-0.01946,0.99914,-0.14656,-0.18473,-0.17634,-1.11598,-0.44365,0.99936,-1.21774,-0.8387,0.020267,0.081795,0.029218,0.029218,0.458666,0.001963,-0.012209,0.888523,-1.14013,-0.84157,125.40176
160842,1608433,1686,-300,12040,-101,-147,-301,0.01068,-0.01983,0.99796,-0.1771,0.28092,-0.15344,-1.13844,-0.61325,0.99821,-1.21744,-0.83045,0.020055,0.081213,0.027995,0.027995,0.458678,0.001899,-0.012193,0.888517,-1.14184,-0.83424,125.40017
160843,1608443,1630,-316,12062,-83,-107,-303,0.00725,-0.02081,0.99926,-0.03969,0.58626,-0.1687,-1.1932,-0.41545,0.99951,-1.21733,-0.81376,0.01999,0.08013,0.02838,0.02838,0.458691,0.001783,-0.012147,0.888511,-1.14324,-0.82004,125.39838
160844,1608453,1622,-304,12076,-90,-60,-306,0.00676,-0.02008,1.0001,-0.09313,0.94504,-0.1916,-1.15005,-0.38699,1.00032,-1.21655,-0.79341,0.019811,0.07904,0.027999,0.027999,0.458706,0.001638,-0.012083,0.888504,-1.14428,-0.80197,125.39626
160845,1608463,1630,-286,12054,-89,-31,-316,0.00725,-0.01897,0.99879,-0.0855,1.16641,-0.26794,-1.08824,-0.41566,0.99899,-1.21406,-0.7725,0.019482,0.078106,0.02736,0.02736,0.458728,0.00149,-0.012003,0.888494,-1.14398,-0.78264,125.39336
160846,1608473,1628,-312,12048,-111,-31,-326,0.00712,-0.02057,0.99843,-0.25344,1.16641,-0.34427,-1.18012,-0.40876,0.99867,-1.21581,-0.75216,0.01939,0.077226,0.026796,0.026796,0.458756,0.001329,-0.011952,0.888481,-1.14718,-0.76359,125.38968
160847,1608483,1628,-314,12038,-107,-106,-334,0.00712,-0.02069,0.99784,-0.2229,0.59389,-0.40534,-1.18786,-0.409,0.99808,-1.21744,-0.73821,0.019317,0.076409,0.025976,0.025976,0.458787,0.001216,-0.011923,0.888465,-1.15017,-0.75067,125.38551
160848,1608493,1664,-332,12132,-96,-174,-335,0.00933,-0.02179,1.00342,-0.13893,0.07481,-0.41298,-1.24427,-0.53282,1.0037,-1.21962,-0.73341,0.019372,0.07596,0.023463,0.023463,0.458819,0.001164,-0.011928,0.888449,-1.15336,-0.7457,125.3814
160849,1608503,1654,-290,12060,-94,-215,-329,0.00872,-0.01922,0.99914,-0.12366,-0.23817,-0.36718,-1.10192,-0.49995,0.99937,-1.21792,-0.73034,0.019081,0.075382,0.026248,0.026248,0.458847,0.001144,-0.01192,0.888435,-1.15352,-0.74324,125.37777
160850,1608513,1638,-280,12020,-91,-243,-317,0.00774,-0.0186,0.99677,-0.10076,-0.45191,-0.27557,-1.0693,-0.44472,0.99697,-1.21554,-0.72866,0.018748,0.074735,0.023904,0.023904,0.458868,0.001136,-0.011909,0.888424,-1.15282,-0.7419,125.37506
160851,1608523,1660,-278,12044,-94,-229,-314,0.00909,-0.01848,0.99819,-0.12366,-0.34504,-0.25267,-1.06073,-0.52156,0.99841,-1.21303,-0.72754,0.018382,0.07424,0.025173,0.025173,0.458887,0.001132,-0.0119,0.888414,-1.15219,-0.74101,125.37259
160852,1608533,1622,-240,12028,-93,-194,-312,0.00676,-0.01615,0.99724,-0.11603,-0.07786,-0.2374,-0.92786,-0.38813,0.9974,-1.20751,-0.7209,0.017743,0.07348,0.023944,0.023944,0.458905,0.001097,-0.01185,0.888405,-1.14886,-0.73482,125.37017
160853,1608543,1678,-296,12032,-88,-175,-314,0.01019,-0.01959,0.99748,-0.07786,0.06718,-0.25267,-1.12489,-0.58535,0.99772,-1.20646,-0.71769,0.017556,0.073176,0.024077,0.024077,0.458925,0.001068,-0.011838,0.888395,-1.14913,-0.73123,125.36763
160854,1608553,1644,-266,12034,-94,-187,-308,0.00811,-0.01775,0.9976,-0.12366,-0.02443,-0.20687,-1.0191,-0.4655,0.99779,-1.20335,-0.71261,0.017135,0.072613,0.023921,0.023921,0.458941,0.001034,-0.011807,0.888388,-1.14776,-0.72622,125.36553
160855,1608563,1672,-338,12066,-86,-183,-309,0.00982,-0.02216,0.9995,-0.0626,0.00611,-0.2145,-1.27024,-0.56304,0.99979,-1.20579,-0.70955,0.017288,0.072265,0.024827,0.024827,0.458957,0.000996,-0.011817,0.888379,-1.1508,-0.72294,125.36343
160856,1608573,1642,-330,12044,-84,-186,-309,0.00798,-0.02167,0.99819,-0.04733,-0.01679,-0.2145,-1.24375,-0.45814,0.99846,-1.20734,-0.70437,0.017372,0.071701,0.024041,0.024041,0.458973,0.000947,-0.011815,0.888371,-1.1531,-0.71787,125.36129
160857,1608583,1652,-306,12026,-87,-179,-313,0.0086,-0.0202,0.99712,-0.07023,0.03664,-0.24504,-1.16052,-0.4939,0.99737,-1.20712,-0.69991,0.01727,0.071252,0.022835,0.022835,0.458992,0.000907,-0.011802,0.888361,-1.15392,-0.71311,125.35885
