sample_index,timestamp_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_calibrated_g,ay_calibrated_g,az_calibrated_g,gx_dps,gy_dps,gz_dps
3237,32383,1316,-142,12040,-73,-179,-288,-0.01202,-0.01014,0.99796,0.03664,0.03664,-0.0542
3238,32393,1362,-124,12064,-89,-173,-300,-0.0092,-0.00904,0.99938,-0.0855,0.08244,-0.1458
3239,32403,1310,-170,12080,-94,-153,-301,-0.01239,-0.01186,1.00033,-0.12366,0.23511,-0.15344
3240,32413,1276,-188,12020,-95,-143,-299,-0.01448,-0.01296,0.99677,-0.1313,0.31145,-0.13817
3241,32423,1270,-190,12070,-92,-150,-291,-0.01484,-0.01308,0.99974,-0.1084,0.25802,-0.0771
3242,32433,1290,-200,12106,-87,-156,-289,-0.01362,-0.0137,1.00188,-0.07023,0.21221,-0.06183
3243,32443,1306,-52,12096,-83,-162,-285,-0.01264,-0.00462,1.00128,-0.03969,0.16641,-0.0313
3244,32453,1266,-54,12038,-75,-177,-276,-0.01509,-0.00474,0.99784,0.02137,0.05191,0.0374
3245,32463,1220,-172,12090,-81,-184,-281,-0.01791,-0.01198,1.00093,-0.02443,-0.00153,-0.00076
3246,32473,1242,-244,12128,-85,-192,-281,-0.01656,-0.0164,1.00318,-0.05496,-0.0626,-0.00076
3247,32483,1284,-268,12058,-76,-200,-279,-0.01399,-0.01787,0.99903,0.01374,-0.12366,0.0145
3248,32493,1290,-198,12016,-76,-191,-286,-0.01362,-0.01357,0.99653,0.01374,-0.05496,-0.03893
3249,32503,1326,-130,12096,-77,-186,-282,-0.01141,-0.0094,1.00128,0.00611,-0.01679,-0.0084
3250,32513,1316,-98,12120,-83,-184,-282,-0.01202,-0.00744,1.00271,-0.03969,-0.00153,-0.0084
3251,32523,1322,-188,12100,-92,-188,-286,-0.01165,-0.01296,1.00152,-0.1084,-0.03206,-0.03893
3252,32533,1304,-244,12072,-89,-189,-284,-0.01276,-0.0164,0.99986,-0.0855,-0.03969,-0.02366
3253,32543,1332,-286,12056,-81,-191,-283,-0.01104,-0.01897,0.99891,-0.02443,-0.05496,-0.01603
3254,32553,1362,-232,12056,-68,-191,-290,-0.0092,-0.01566,0.99891,0.07481,-0.05496,-0.06947
3255,32563,1318,-176,12090,-69,-178,-289,-0.0119,-0.01223,1.00093,0.06718,0.04427,-0.06183
3256,32573,1308,-98,11998,-66,-183,-289,-0.01251,-0.00744,0.99546,0.09008,0.00611,-0.06183
3257,32583,1286,-102,12026,-67,-189,-290,-0.01386,-0.00769,0.99712,0.08244,-0.03969,-0.06947
3258,32593,1318,-108,12006,-71,-191,-284,-0.0119,-0.00805,0.99594,0.05191,-0.05496,-0.02366
3259,32603,1280,-230,12102,-68,-198,-273,-0.01423,-0.01554,1.00164,0.07481,-0.1084,0.06031
3260,32613,1240,-196,12088,-70,-199,-269,-0.01669,-0.01345,1.00081,0.05954,-0.11603,0.09084
3261,32623,1260,-198,12086,-67,-201,-271,-0.01546,-0.01357,1.00069,0.08244,-0.1313,0.07557
3262,32633,1270,-142,12148,-72,-201,-265,-0.01484,-0.01014,1.00437,0.04427,-0.1313,0.12137
3263,32643,1308,-116,12108,-80,-189,-264,-0.01251,-0.00854,1.002,-0.01679,-0.03969,0.12901
3264,32653,1298,-120,12082,-86,-178,-264,-0.01313,-0.00879,1.00045,-0.0626,0.04427,0.12901
3265,32663,1292,-186,12044,-97,-177,-260,-0.01349,-0.01284,0.99819,-0.14656,0.05191,0.15954
3266,32673,1270,-200,12076,-90,-185,-255,-0.01484,-0.0137,1.0001,-0.09313,-0.00916,0.19771
3267,32683,1264,-268,12064,-85,-184,-237,-0.01521,-0.01787,0.99938,-0.05496,-0.00153,0.33511
3268,32693,1346,-264,12048,-81,-192,-233,-0.01018,-0.01762,0.99843,-0.02443,-0.0626,0.36565
3269,32703,1350,-262,12068,-77,-194,-231,-0.00994,-0.0175,0.99962,0.00611,-0.07786,0.38092
3270,32713,1332,-182,11958,-75,-195,-227,-0.01104,-0.01259,0.99308,0.02137,-0.0855,0.41145
3271,32723,1320,-160,12072,-81,-192,-230,-0.01178,-0.01124,0.99986,-0.02443,-0.0626,0.38855
3272,32733,1342,-150,12050,-77,-192,-236,-0.01043,-0.01063,0.99855,0.00611,-0.0626,0.34275
3273,32743,1334,-226,12052,-72,-200,-239,-0.01092,-0.01529,0.99867,0.04427,-0.12366,0.31985
3274,32753,1324,-200,12034,-75,-194,-245,-0.01153,-0.0137,0.9976,0.02137,-0.07786,0.27405
3275,32763,1278,-194,12114,-75,-181,-247,-0.01435,-0.01333,1.00235,0.02137,0.02137,0.25878
3276,32773,1262,-118,12056,-68,-191,-249,-0.01534,-0.00867,0.99891,0.07481,-0.05496,0.24351
3277,32783,1262,-148,12110,-82,-187,-264,-0.01534,-0.01051,1.00212,-0.03206,-0.02443,0.12901
3278,32793,1240,-146,12116,-81,-183,-266,-0.01669,-0.01038,1.00247,-0.02443,0.00611,0.11374
3279,32803,1268,-136,12140,-81,-174,-264,-0.01497,-0.00977,1.0039,-0.02443,0.07481,0.12901
3280,32813,1220,-192,12054,-80,-179,-257,-0.01791,-0.01321,0.99879,-0.01679,0.03664,0.18244
3281,32823,1280,-176,12070,-80,-177,-255,-0.01423,-0.01223,0.99974,-0.01679,0.05191,0.19771
3282,32833,1276,-196,12032,-81,-182,-238,-0.01448,-0.01345,0.99748,-0.02443,0.01374,0.32748
3283,32843,1296,-220,12080,-81,-184,-216,-0.01325,-0.01492,1.00033,-0.02443,-0.00153,0.49542
3284,32853,1314,-184,12076,-81,-187,-211,-0.01214,-0.01272,1.0001,-0.02443,-0.02443,0.53359
3285,32863,1370,-192,11936,-83,-188,-193,-0.00871,-0.01321,0.99178,-0.03969,-0.03206,0.67099
3286,32873,1376,-192,12004,-93,-163,-203,-0.00834,-0.01321,0.99582,-0.11603,0.15878,0.59466
3287,32883,1364,-190,12146,-84,-155,-234,-0.00908,-0.01308,1.00425,-0.04733,0.21985,0.35802
3288,32893,1318,-206,12046,-86,-166,-263,-0.0119,-0.01407,0.99831,-0.0626,0.13588,0.13664
3289,32903,1348,-212,12058,-87,-160,-272,-0.01006,-0.01443,0.99903,-0.07023,0.18168,0.06794
3290,32913,1322,-186,12022,-83,-163,-271,-0.01165,-0.01284,0.99689,-0.03969,0.15878,0.07557
3291,32923,1282,-182,12086,-78,-175,-279,-0.01411,-0.01259,1.00069,-0.00153,0.06718,0.0145
3292,32933,1288,-130,12098,-74,-183,-281,-0.01374,-0.0094,1.0014,0.02901,0.00611,-0.00076
3293,32943,1258,-182,12104,-64,-188,-275,-0.01558,-0.01259,1.00176,0.10534,-0.03206,0.04504
3294,32953,1264,-140,12082,-66,-190,-276,-0.01521,-0.01002,1.00045,0.09008,-0.04733,0.0374
3295,32963,1288,-210,12118,-75,-192,-272,-0.01374,-0.01431,1.00259,0.02137,-0.0626,0.06794
3296,32973,1296,-182,12054,-83,-193,-274,-0.01325,-0.01259,0.99879,-0.03969,-0.07023,0.05267
3297,32983,1314,-174,12080,-74,-194,-272,-0.01214,-0.0121,1.00033,0.02901,-0.07786,0.06794
3298,32993,1278,-160,12154,-78,-188,-267,-0.01435,-0.01124,1.00473,-0.00153,-0.03206,0.10611
3299,33003,1282,-148,12034,-84,-187,-258,-0.01411,-0.01051,0.9976,-0.04733,-0.02443,0.17481
3300,33013,1274,-156,12030,-81,-174,-261,-0.0146,-0.011,0.99736,-0.02443,0.07481,0.15191
3301,33023,1270,-226,12040,-91,-191,-254,-0.01484,-0.01529,0.99796,-0.10076,-0.05496,0.20534
3302,33033,1338,-198,12070,-91,-185,-250,-0.01067,-0.01357,0.99974,-0.10076,-0.00916,0.23588
3303,33043,1308,-238,12036,-78,-196,-247,-0.01251,-0.01603,0.99772,-0.00153,-0.09313,0.25878
3304,33053,1248,-214,12018,-67,-209,-250,-0.01619,-0.01456,0.99665,0.08244,-0.19237,0.23588
3305,33063,1318,-130,12064,-65,-202,-264,-0.0119,-0.0094,0.99938,0.09771,-0.13893,0.12901
3306,33073,1322,-156,12030,-85,-182,-273,-0.01165,-0.011,0.99736,-0.05496,0.01374,0.06031
3307,33083,1328,-136,12052,-91,-172,-268,-0.01129,-0.00977,0.99867,-0.10076,0.09008,0.09847
3308,33093,1326,-214,12046,-78,-188,-276,-0.01141,-0.01456,0.99831,-0.00153,-0.03206,0.0374
3309,33103,1318,-180,12094,-87,-188,-283,-0.0119,-0.01247,1.00116,-0.07023,-0.03206,-0.01603
3310,33113,1292,-182,12028,-89,-181,-286,-0.01349,-0.01259,0.99724,-0.0855,0.02137,-0.03893
3311,33123,1264,-208,12062,-80,-192,-287,-0.01521,-0.01419,0.99926,-0.01679,-0.0626,-0.04656
3312,33133,1288,-146,12002,-79,-194,-281,-0.01374,-0.01038,0.9957,-0.00916,-0.07786,-0.00076
3313,33143,1276,-132,12118,-80,-188,-280,-0.01448,-0.00953,1.00259,-0.01679,-0.03206,0.00687
3314,33153,1242,-164,12046,-76,-202,-265,-0.01656,-0.01149,0.99831,0.01374,-0.13893,0.12137
3315,33163,1326,-214,12122,-75,-194,-270,-0.01141,-0.01456,1.00283,0.02137,-0.07786,0.08321
3316,33173,1266,-174,12048,-78,-186,-273,-0.01509,-0.0121,0.99843,-0.00153,-0.01679,0.06031
3317,33183,1258,-206,12128,-78,-183,-268,-0.01558,-0.01407,1.00318,-0.00153,0.00611,0.09847
3318,33193,1308,-188,12070,-62,-186,-267,-0.01251,-0.01296,0.99974,0.12061,-0.01679,0.10611
3319,33203,1328,-202,12002,-62,-187,-263,-0.01129,-0.01382,0.9957,0.12061,-0.02443,0.13664
3320,33213,1326,-180,12032,-75,-187,-265,-0.01141,-0.01247,0.99748,0.02137,-0.02443,0.12137
3321,33223,1344,-162,12106,-77,-199,-265,-0.0103,-0.01137,1.00188,0.00611,-0.11603,0.12137
3322,33233,1320,-168,12098,-71,-190,-266,-0.01178,-0.01173,1.0014,0.05191,-0.04733,0.11374
3323,33243,1332,-174,12080,-81,-171,-269,-0.01104,-0.0121,1.00033,-0.02443,0.09771,0.09084
3324,33253,1290,-212,12044,-87,-180,-277,-0.01362,-0.01443,0.99819,-0.07023,0.02901,0.02977
