sample_index,timestamp_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_calibrated_g,ay_calibrated_g,az_calibrated_g,gx_dps,gy_dps,gz_dps
367237,3672383,1380,-270,11916,-96,-164,-500,-0.00809,-0.01799,0.99059,-0.13893,0.15115,-1.67252
367238,3672393,1400,-214,12070,-91,-180,-393,-0.00687,-0.01456,0.99974,-0.10076,0.02901,-0.85573
367239,3672403,1396,-194,12038,-101,-181,-371,-0.00711,-0.01333,0.99784,-0.1771,0.02137,-0.68779
367240,3672413,1392,-136,12044,-100,-179,-357,-0.00736,-0.00977,0.99819,-0.16947,0.03664,-0.58092
367241,3672423,1390,-186,12054,-99,-177,-355,-0.00748,-0.01284,0.99879,-0.16183,0.05191,-0.56565
367242,3672433,1380,-206,12028,-93,-161,-354,-0.00809,-0.01407,0.99724,-0.11603,0.17405,-0.55802
367243,3672443,1366,-250,12130,-102,-159,-349,-0.00895,-0.01676,1.0033,-0.18473,0.18931,-0.51985
367244,3672453,1330,-260,12098,-107,-168,-345,-0.01116,-0.01738,1.0014,-0.2229,0.12061,-0.48931
367245,3672463,1336,-254,12062,-110,-174,-346,-0.01079,-0.01701,0.99926,-0.2458,0.07481,-0.49695
367246,3672473,1396,-182,12042,-117,-198,-343,-0.00711,-0.01259,0.99807,-0.29924,-0.1084,-0.47405
367247,3672483,1416,-158,12024,-114,-193,-335,-0.00588,-0.01112,0.99701,-0.27634,-0.07023,-0.41298
367248,3672493,1418,-212,12046,-113,-206,-334,-0.00576,-0.01443,0.99831,-0.2687,-0.16947,-0.40534
367249,3672503,1398,-242,12070,-111,-204,-337,-0.00699,-0.01627,0.99974,-0.25344,-0.1542,-0.42824
367250,3672513,1408,-332,12056,-103,-190,-336,-0.00638,-0.02179,0.99891,-0.19237,-0.04733,-0.42061
367251,3672523,1376,-300,12006,-97,-180,-337,-0.00834,-0.01983,0.99594,-0.14656,0.02901,-0.42824
367252,3672533,1386,-274,12074,-97,-179,-336,-0.00773,-0.01824,0.99998,-0.14656,0.03664,-0.42061
367253,3672543,1356,-232,12118,-92,-186,-337,-0.00957,-0.01566,1.00259,-0.1084,-0.01679,-0.42824
367254,3672553,1360,-206,12090,-100,-175,-338,-0.00932,-0.01407,1.00093,-0.16947,0.06718,-0.43588
367255,3672563,1384,-212,12092,-109,-182,-377,-0.00785,-0.01443,1.00105,-0.23817,0.01374,-0.73359
367256,3672573,1758,-338,12062,-113,-184,-618,0.0151,-0.02216,0.99926,-0.2687,-0.00153,-2.57328
367257,3672583,1526,-284,12028,-104,-186,-1650,0.00087,-0.01885,0.99724,-0.2,-0.01679,-10.45115
367258,3672593,1228,-234,12062,-103,-223,-2156,-0.01742,-0.01578,0.99926,-0.19237,-0.29924,-14.31374
367259,3672603,1328,-228,12060,-111,-189,-1854,-0.01129,-0.01541,0.99914,-0.25344,-0.03969,-12.0084
367260,3672613,1266,-208,12016,-107,-199,-1622,-0.01509,-0.01419,0.99653,-0.2229,-0.11603,-10.2374
367261,3672623,1240,-186,12072,-116,-183,-1305,-0.01669,-0.01284,0.99986,-0.2916,0.00611,-7.81756
367262,3672633,1280,-230,12026,-106,-165,-916,-0.01423,-0.01554,0.99712,-0.21527,0.14351,-4.84809
367263,3672643,1372,-252,12032,-100,-165,-661,-0.00859,-0.01689,0.99748,-0.16947,0.14351,-2.90153
367264,3672653,1358,-276,12034,-102,-174,-507,-0.00944,-0.01836,0.9976,-0.18473,0.07481,-1.72595
367265,3672663,1336,-266,12050,-103,-188,-441,-0.01079,-0.01775,0.99855,-0.19237,-0.03206,-1.22214
367266,3672673,1388,-242,12032,-101,-191,-421,-0.0076,-0.01627,0.99748,-0.1771,-0.05496,-1.06947
367267,3672683,1424,-156,12088,-105,-187,-416,-0.00539,-0.011,1.00081,-0.20763,-0.02443,-1.0313
367268,3672693,1326,-210,12008,-109,-187,-420,-0.01141,-0.01431,0.99605,-0.23817,-0.02443,-1.06183
367269,3672703,1358,-234,12082,-112,-192,-470,-0.00944,-0.01578,1.00045,-0.26107,-0.0626,-1.44351
367270,3672713,1368,-232,12082,-114,-192,-604,-0.00883,-0.01566,1.00045,-0.27634,-0.0626,-2.46641
367271,3672723,1380,-254,12052,-106,-191,-851,-0.00809,-0.01701,0.99867,-0.21527,-0.05496,-4.35191
367272,3672733,1278,-254,12062,-103,-178,-1165,-0.01435,-0.01701,0.99926,-0.19237,0.04427,-6.74885
367273,3672743,1292,-188,12076,-104,-178,-1143,-0.01349,-0.01296,1.0001,-0.2,0.04427,-6.58092
367274,3672753,1408,-236,12052,-108,-178,-894,-0.00638,-0.01591,0.99867,-0.23053,0.04427,-4.68015
367275,3672763,1408,-236,12100,-110,-185,-757,-0.00638,-0.01591,1.00152,-0.2458,-0.00916,-3.63435
367276,3672773,1404,-230,12038,-106,-193,-696,-0.00662,-0.01554,0.99784,-0.21527,-0.07023,-3.1687
367277,3672783,1422,-290,12016,-113,-197,-762,-0.00552,-0.01922,0.99653,-0.2687,-0.10076,-3.67252
367278,3672793,1544,-286,12098,-106,-182,-959,0.00197,-0.01897,1.0014,-0.21527,0.01374,-5.17634
367279,3672803,1524,-272,12066,-99,-187,-1466,0.00074,-0.01811,0.9995,-0.16183,-0.02443,-9.04657
367280,3672813,1426,-236,12074,-109,-167,-1964,-0.00527,-0.01591,0.99998,-0.23817,0.12824,-12.84809
367281,3672823,1338,-226,12084,-117,-168,-2060,-0.01067,-0.01529,1.00057,-0.29924,0.12061,-13.58092
367282,3672833,1156,-280,12064,-115,-166,-1922,-0.02184,-0.0186,0.99938,-0.28397,0.13588,-12.52748
367283,3672843,1026,-166,12080,-126,-184,-1458,-0.02982,-0.01161,1.00033,-0.36794,-0.00153,-8.9855
367284,3672853,1208,-172,12064,-116,-183,-796,-0.01865,-0.01198,0.99938,-0.2916,0.00611,-3.93206
367285,3672863,1296,-186,12044,-125,-186,-461,-0.01325,-0.01284,0.99819,-0.36031,-0.01679,-1.37481
367286,3672873,1318,-204,12018,-121,-190,-356,-0.0119,-0.01394,0.99665,-0.32977,-0.04733,-0.57328
367287,3672883,1308,-194,12056,-115,-195,-342,-0.01251,-0.01333,0.99891,-0.28397,-0.0855,-0.46641
367288,3672893,1346,-210,12032,-124,-198,-343,-0.01018,-0.01431,0.99748,-0.35267,-0.1084,-0.47405
367289,3672903,1368,-256,12052,-122,-205,-338,-0.00883,-0.01713,0.99867,-0.3374,-0.16183,-0.43588
367290,3672913,1396,-268,12036,-113,-204,-337,-0.00711,-0.01787,0.99772,-0.2687,-0.1542,-0.42824
367291,3672923,1428,-284,12084,-111,-205,-333,-0.00515,-0.01885,1.00057,-0.25344,-0.16183,-0.39771
367292,3672933,1332,-262,12048,-104,-188,-333,-0.01104,-0.0175,0.99843,-0.2,-0.03206,-0.39771
367293,3672943,1422,-198,12052,-106,-183,-334,-0.00552,-0.01357,0.99867,-0.21527,0.00611,-0.40534
367294,3672953,1360,-300,12000,-103,-182,-332,-0.00932,-0.01983,0.99558,-0.19237,0.01374,-0.39008
367295,3672963,1350,-262,12046,-108,-178,-332,-0.00994,-0.0175,0.99831,-0.23053,0.04427,-0.39008
367296,3672973,1296,-250,12060,-101,-188,-322,-0.01325,-0.01676,0.99914,-0.1771,-0.03206,-0.31374
367297,3672983,1338,-248,12040,-107,-182,-312,-0.01067,-0.01664,0.99796,-0.2229,0.01374,-0.2374
367298,3672993,1346,-242,12120,-111,-180,-279,-0.01018,-0.01627,1.00271,-0.25344,0.02901,0.0145
367299,3673003,1376,-240,12036,-106,-182,-233,-0.00834,-0.01615,0.99772,-0.21527,0.01374,0.36565
367300,3673013,1386,-214,12098,-109,-178,-201,-0.00773,-0.01456,1.0014,-0.23817,0.04427,0.60992
367301,3673023,1352,-210,12080,-121,-174,-141,-0.00981,-0.01431,1.00033,-0.32977,0.07481,1.06794
367302,3673033,1382,-254,12060,-121,-179,-36,-0.00797,-0.01701,0.99914,-0.32977,0.03664,1.86947
367303,3673043,1366,-302,12062,-121,-179,112,-0.00895,-0.01995,0.99926,-0.32977,0.03664,2.99924
367304,3673053,1416,-304,12074,-114,-165,321,-0.00588,-0.02008,0.99998,-0.27634,0.14351,4.59466
367305,3673063,1298,-250,12026,-106,-157,520,-0.01313,-0.01676,0.99712,-0.21527,0.20458,6.11374
367306,3673073,1314,-220,12098,-117,-168,434,-0.01214,-0.01492,1.0014,-0.29924,0.12061,5.45725
367307,3673083,1276,-222,12066,-117,-167,162,-0.01448,-0.01505,0.9995,-0.29924,0.12824,3.38092
367308,3673093,1308,-196,12068,-118,-172,-69,-0.01251,-0.01345,0.99962,-0.30687,0.09008,1.61756
367309,3673103,1340,-222,12046,-122,-176,-161,-0.01055,-0.01505,0.99831,-0.3374,0.05954,0.91527
367310,3673113,1312,-232,12046,-115,-173,-203,-0.01227,-0.01566,0.99831,-0.28397,0.08244,0.59466
367311,3673123,1320,-270,12068,-115,-168,-228,-0.01178,-0.01799,0.99962,-0.28397,0.12061,0.40382
367312,3673133,1286,-260,11992,-117,-169,-257,-0.01386,-0.01738,0.9951,-0.29924,0.11298,0.18244
367313,3673143,1288,-222,12040,-120,-180,-271,-0.01374,-0.01505,0.99796,-0.32214,0.02901,0.07557
367314,3673153,1338,-188,12068,-133,-178,-269,-0.01067,-0.01296,0.99962,-0.42137,0.04427,0.09084
367315,3673163,1322,-238,12090,-138,-176,-280,-0.01165,-0.01603,1.00093,-0.45954,0.05954,0.00687
367316,3673173,1328,-262,12056,-135,-185,-295,-0.01129,-0.0175,0.99891,-0.43664,-0.00916,-0.10763
367317,3673183,1396,-238,12022,-129,-190,-306,-0.00711,-0.01603,0.99689,-0.39084,-0.04733,-0.1916
367318,3673193,1350,-256,12064,-130,-200,-311,-0.00994,-0.01713,0.99938,-0.39847,-0.12366,-0.22977
367319,3673203,1350,-230,12012,-132,-215,-303,-0.00994,-0.01554,0.99629,-0.41374,-0.23817,-0.1687
