sample_index,timestamp_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,accel_magnitude_g,roll_kf_deg,pitch_kf_deg,roll_bias_dps,pitch_bias_dps,roll_k_angle,pitch_k_angle
30667,314160,-1794,-182,11714,-82,-171,-286,-0.20287,-0.01259,0.97859,-0.03206,0.09771,-0.03893,-0.73729,11.71108,0.99947,-0.73155,11.66199,-0.034313,0.034256,0.019505,0.019505
30668,314170,-1824,-206,11762,-93,-160,-282,-0.20471,-0.01407,0.98144,-0.11603,0.18168,-0.0084,-0.82108,11.78078,1.00266,-0.73398,11.66561,-0.034159,0.034053,0.018275,0.018275
30669,314180,-1792,-180,11730,-90,-164,-270,-0.20275,-0.01247,0.97954,-0.09313,0.15115,0.08321,-0.7294,11.69317,1.00038,-0.73447,11.66729,-0.034169,0.034004,0.01952,0.01952
30670,314191,-1764,-184,11774,-78,-188,-280,-0.20103,-0.01272,0.98215,-0.00153,-0.03206,0.00687,-0.74177,11.5667,1.00259,-0.73429,11.6648,-0.034156,0.034178,0.018321,0.018321
30671,314201,-1792,-168,11784,-78,-192,-286,-0.20275,-0.01173,0.98274,-0.00153,-0.0626,-0.03893,-0.68411,11.65615,1.00351,-0.73309,11.6637,-0.034238,0.03419,0.01743,0.01743
30672,314211,-1818,-174,11788,-75,-182,-283,-0.20434,-0.0121,0.98298,0.02137,0.01374,-0.01603,-0.70539,11.74252,1.00407,-0.73208,11.66482,-0.034281,0.034064,0.016825,0.016825
30673,314222,-1806,-142,11766,-84,-165,-279,-0.20361,-0.01014,0.98168,-0.04733,0.14351,0.0145,-0.59178,11.71678,1.00262,-0.72963,11.66685,-0.034526,0.033976,0.018357,0.018357
30674,314232,-1794,-200,11832,-84,-142,-281,-0.20287,-0.0137,0.9856,-0.04733,0.31908,-0.00076,-0.79622,11.62989,1.00635,-0.73069,11.66914,-0.034437,0.034029,0.014041,0.014041
30675,314242,-1802,-164,11806,-88,-179,-290,-0.20336,-0.01149,0.98405,-0.07786,0.03664,-0.06947,-0.66892,11.67539,1.00491,-0.73014,11.66927,-0.034531,0.03402,0.015919,0.015919
30676,314252,-1746,-160,11720,-80,-196,-281,-0.19992,-0.01124,0.97894,-0.01679,-0.09313,-0.00076,-0.65805,11.54174,0.99921,-0.72855,11.66552,-0.034665,0.034254,0.019612,0.019612
30677,314263,-1706,-174,11758,-84,-179,-285,-0.19747,-0.0121,0.9812,-0.04733,0.03664,-0.0313,-0.70667,11.3781,1.00095,-0.72824,11.65993,-0.034705,0.034787,0.019538,0.019538
30678,314273,-1806,-196,11730,-74,-138,-288,-0.20361,-0.01345,0.97954,0.02901,0.34962,-0.0542,-0.7868,11.74119,1.00056,-0.72877,11.66461,-0.034595,0.034641,0.019627,0.019627
30679,314283,-1788,-208,11786,-78,-167,-280,-0.2025,-0.01419,0.98286,-0.00153,0.12824,0.00687,-0.82703,11.64068,1.00361,-0.73016,11.66511,-0.034432,0.034682,0.01744,0.01744
30680,314293,-1784,-238,11726,-82,-205,-282,-0.20226,-0.01603,0.9793,-0.03206,-0.16183,-0.0084,-0.93768,11.66778,1.00009,-0.73422,11.66324,-0.034045,0.034674,0.019685,0.019685
30681,314304,-1822,-192,11734,-77,-200,-284,-0.20459,-0.01321,0.97977,0.00611,-0.12366,-0.02366,-0.77226,11.79349,1.00099,-0.73457,11.66422,-0.033974,0.03443,0.019475,0.019475
30682,314314,-1786,-160,11710,-73,-164,-288,-0.20238,-0.01124,0.97835,0.03664,0.15115,-0.0542,-0.65845,11.68647,0.99912,-0.73239,11.6658,-0.034113,0.034391,0.019497,0.019497
30683,314324,-1778,-190,11794,-79,-142,-283,-0.20189,-0.01308,0.98334,-0.00916,0.31908,-0.01603,-0.76231,11.60108,1.00393,-0.73265,11.6675,-0.034065,0.034501,0.017039,0.017039
30684,314335,-1722,-248,11734,-82,-166,-282,-0.19845,-0.01664,0.97977,-0.03206,0.13588,-0.0084,-0.97309,11.44863,0.99981,-0.73736,11.66419,-0.033617,0.03491,0.019647,0.019647
30685,314345,-1764,-174,11706,-77,-204,-283,-0.20103,-0.0121,0.97811,0.00611,-0.1542,-0.01603,-0.70891,11.61326,0.99863,-0.73642,11.66136,-0.033668,0.035,0.019276,0.019276
30686,314355,-1760,-184,11736,-82,-206,-286,-0.20078,-0.01272,0.97989,-0.03206,-0.16947,-0.03893,-0.74348,11.57885,1.00033,-0.73654,11.65773,-0.033655,0.035149,0.019596,0.019596
30687,314365,-1806,-134,11768,-83,-161,-281,-0.20361,-0.00965,0.98179,-0.03969,0.17405,-0.00076,-0.56307,11.71546,1.00273,-0.73343,11.66015,-0.033955,0.035052,0.018262,0.018262
30688,314376,-1820,-188,11740,-82,-152,-284,-0.20446,-0.01296,0.98013,-0.03206,0.24275,-0.02366,-0.75764,11.78248,1.00131,-0.73388,11.66455,-0.033911,0.034832,0.019276,0.019276
